radio,orbit_altitude_km,elevation_deg,slant_range_km,fspl_db,total_prop_loss_db,eirp_dbw,cn0_dbhz,ebn0_db,link_margin_db,pfd_dbw_per_m2
Endurosat,500.0,0,2573.130389234094,178.95667222961418,184.45667222961418,20.510299956639813,87.27483686301326,7.784836863013268,0.3948368630132686,-118.69103456239432
Endurosat,500.0,5,2077.091666328085,177.09654961613947,182.59654961613947,20.510299956639813,89.13495947648798,9.644959476487983,2.2549594764879837,-116.8309119489196
Endurosat,500.0,10,1694.567221154679,175.32861237841766,180.82861237841766,20.510299956639813,90.90289671420979,11.412896714209793,4.022896714209794,-115.06297471119777
Endurosat,500.0,15,1407.2036480456748,173.7145753971861,179.2145753971861,20.510299956639813,92.51693369544134,13.026933695441343,5.636933695441344,-113.44893772996625
Endurosat,500.0,20,1192.7971987277242,172.27876856099888,177.77876856099888,20.510299956639813,93.95274053162856,14.462740531628569,7.072740531628569,-112.01313089377902
Endurosat,500.0,25,1031.81930676285,171.01950934804657,176.51950934804657,20.510299956639813,95.21199974458088,15.721999744580884,8.331999744580884,-110.7538716808267
Endurosat,500.0,30,909.4249382619951,169.92277353602256,175.42277353602256,20.510299956639813,96.30873555660489,16.818735556604892,9.428735556604892,-109.6571358688027
Endurosat,500.0,35,815.0378779753446,168.9709922020035,174.4709922020035,20.510299956639813,97.26051689062396,17.770516890623966,10.380516890623966,-108.70535453478362
Endurosat,500.0,40,741.2928662839413,168.14723276633643,173.64723276633643,20.510299956639813,98.08427632629102,18.594276326291023,11.204276326291023,-107.88159509911657
Endurosat,500.0,45,683.0686201417575,167.43672304088733,172.93672304088733,20.510299956639813,98.79478605174012,19.304786051740123,11.914786051740123,-107.17108537366747
Endurosat,500.0,50,636.7746481097947,166.82715164121007,172.32715164121007,20.510299956639813,99.40435745141738,19.914357451417388,12.524357451417387,-106.5615139739902
Endurosat,500.0,55,599.8641281143427,166.30849418872336,171.80849418872336,20.510299956639813,99.92301490390409,20.433014903904095,13.043014903904094,-106.04285652150351
Endurosat,500.0,60,570.509999748142,165.87270157119255,171.37270157119255,20.510299956639813,100.3588075214349,20.868807521434903,13.478807521434902,-105.60706390397269
Endurosat,500.0,65,547.3907371097412,165.51338523178757,171.01338523178757,20.510299956639813,100.71812386083988,21.228123860839887,13.838123860839886,-105.24774756456772
Endurosat,500.0,70,529.5481824717681,165.22554598639843,170.72554598639843,20.510299956639813,101.00596310622902,21.515963106229023,14.125963106229023,-104.95990831917857
Endurosat,500.0,75,516.2927507971172,165.00535689509573,170.50535689509573,20.510299956639813,101.22615219753172,21.736152197531723,14.346152197531723,-104.7397192278759
Endurosat,500.0,80,507.14022889118405,164.84999759715524,170.34999759715524,20.510299956639813,101.38151149547221,21.891511495472216,14.501511495472215,-104.5843599299354
Endurosat,500.0,85,501.7702137558508,164.75753389111344,170.25753389111344,20.510299956639813,101.47397520151401,21.983975201514014,14.593975201514013,-104.49189622389358
Endurosat,500.0,90,500.0,164.72683643752137,170.22683643752137,20.510299956639813,101.50467265510608,22.014672655106082,14.624672655106082,-104.46119877030154
Endurosat,600.0,0,2829.3462142339527,179.7811582178031,185.2811582178031,20.510299956639813,86.45035087482435,6.960350874824357,-0.4296491251756427,-119.51552055058323
Endurosat,600.0,5,2328.0489773751497,178.08727860558156,183.58727860558156,20.510299956639813,88.14423048704589,8.654230487045893,1.2642304870458938,-117.8216409383617
Endurosat,600.0,10,1931.6353589090172,176.46593928348815,181.96593928348815,20.510299956639813,89.7655698091393,10.275569809139299,2.885569809139299,-116.20030161626829
Endurosat,600.0,15,1625.8448306410517,174.9690182410046,180.4690182410046,20.510299956639813,91.26249085162286,11.772490851622862,4.382490851622863,-114.70338057378476
Endurosat,600.0,20,1392.1639879993036,173.6212442587122,179.1212442587122,20.510299956639813,92.61026483391524,13.120264833915243,5.7302648339152435,-113.35560659149235
Endurosat,600.0,25,1213.2334721732086,172.42632402385692,177.92632402385692,20.510299956639813,93.80518506877053,14.315185068770532,6.925185068770532,-112.16068635663706
Endurosat,600.0,30,1075.088016929119,171.37631677447249,176.87631677447249,20.510299956639813,94.85519231815496,15.365192318154968,7.975192318154968,-111.11067910725262
Endurosat,600.0,35,967.300872665508,170.4586679423817,175.9586679423817,20.510299956639813,95.77284115024574,16.282841150245744,8.892841150245744,-110.19303027516185
Endurosat,600.0,40,882.3358647363984,169.6601150021054,175.1601150021054,20.510299956639813,96.57139409052203,17.08139409052204,9.691394090522039,-109.39447733488555
Endurosat,600.0,45,814.7990551417361,168.96844668502754,174.46844668502754,20.510299956639813,97.2630624075999,17.77306240759991,10.383062407599908,-108.70280901780768
Endurosat,600.0,50,760.8231778711361,168.37311104211707,173.87311104211707,20.510299956639813,97.85839805051037,18.36839805051038,10.978398050510378,-108.10747337489721
Endurosat,600.0,55,717.6171074338627,167.86529201884522,173.36529201884522,20.510299956639813,98.36621707378222,18.87621707378223,11.486217073782228,-107.59965435162536
Endurosat,600.0,60,683.1513775642861,167.437775319204,172.937775319204,20.510299956639813,98.79373377342344,19.303733773423446,11.913733773423445,-107.17213765198414
Endurosat,600.0,65,655.9426111332668,167.08475323714325,172.58475323714325,20.510299956639813,99.1467558554842,19.656755855484207,12.266755855484206,-106.8191155699234
Endurosat,600.0,70,634.9065394090512,166.80163235565678,172.30163235565678,20.510299956639813,99.42987673697067,19.939876736970675,12.549876736970674,-106.53599468843692
Endurosat,600.0,75,619.2579462779877,166.5848681134487,172.0848681134487,20.510299956639813,99.64664097917876,20.15664097917876,12.76664097917876,-106.31923044622883
Endurosat,600.0,80,608.4428960487166,166.43183284699796,171.93183284699796,20.510299956639813,99.79967624562948,20.30967624562949,12.91967624562949,-106.1661951797781
Endurosat,600.0,85,602.0936325593257,166.34071703781157,171.84071703781157,20.510299956639813,99.89079205481588,20.40079205481588,13.01079205481588,-106.0750793705917
Endurosat,600.0,90,600.0,166.31046135847387,171.81046135847387,20.510299956639813,99.92104773415357,20.43104773415358,13.04104773415358,-106.04482369125401
