radio,orbit_altitude_km,elevation_deg,slant_range_km,fspl_db,total_prop_loss_db,eirp_dbw,cn0_dbhz,ebn0_db,link_margin_db,pfd_dbw_per_m2
SAIT,500.0,0,2573.130389234094,178.96195401125343,182.96195401125343,20.179400086720374,87.91865521145458,1.778655211454577,-1.511344788545423,-119.02193443231376
SAIT,500.0,5,2077.091666328085,177.1018313977787,181.1018313977787,20.179400086720374,89.77877782492929,3.638777824929292,0.3487778249292921,-117.16181181883904
SAIT,500.0,10,1694.567221154679,175.3338941600569,179.3338941600569,20.179400086720374,91.5467150626511,5.406715062651102,2.116715062651102,-115.3938745811172
SAIT,500.0,15,1407.2036480456748,173.71985717882535,177.71985717882535,20.179400086720374,93.16075204388265,7.020752043882652,3.730752043882652,-113.77983759988568
SAIT,500.0,20,1192.7971987277242,172.28405034263812,176.28405034263812,20.179400086720374,94.59655888006988,8.456558880069878,5.166558880069878,-112.34403076369846
SAIT,500.0,25,1031.81930676285,171.0247911296858,175.0247911296858,20.179400086720374,95.8558180930222,9.715818093022193,6.425818093022193,-111.08477155074614
SAIT,500.0,30,909.4249382619951,169.9280553176618,173.9280553176618,20.179400086720374,96.9525539050462,10.812553905046201,7.522553905046201,-109.98803573872213
SAIT,500.0,35,815.0378779753446,168.97627398364273,172.97627398364273,20.179400086720374,97.90433523906528,11.764335239065275,8.474335239065276,-109.03625440470306
SAIT,500.0,40,741.2928662839413,168.15251454797567,172.15251454797567,20.179400086720374,98.72809467473233,12.588094674732332,9.298094674732333,-108.212494969036
SAIT,500.0,45,683.0686201417575,167.44200482252657,171.44200482252657,20.179400086720374,99.43860440018143,13.298604400181432,10.008604400181433,-107.5019852435869
SAIT,500.0,50,636.7746481097947,166.8324334228493,170.8324334228493,20.179400086720374,100.0481757998587,13.908175799858697,10.618175799858697,-106.89241384390964
SAIT,500.0,55,599.8641281143427,166.3137759703626,170.3137759703626,20.179400086720374,100.5668332523454,14.426833252345403,11.136833252345404,-106.37375639142294
SAIT,500.0,60,570.509999748142,165.8779833528318,169.8779833528318,20.179400086720374,101.00262586987621,14.862625869876211,11.572625869876212,-105.93796377389212
SAIT,500.0,65,547.3907371097412,165.5186670134268,169.5186670134268,20.179400086720374,101.3619422092812,15.221942209281195,11.931942209281196,-105.57864743448715
SAIT,500.0,70,529.5481824717681,165.23082776803767,169.23082776803767,20.179400086720374,101.64978145467033,15.509781454670332,12.219781454670333,-105.290808189098
SAIT,500.0,75,516.2927507971172,165.01063867673497,169.01063867673497,20.179400086720374,101.86997054597303,15.729970545973032,12.439970545973033,-105.07061909779533
SAIT,500.0,80,507.14022889118405,164.85527937879448,168.85527937879448,20.179400086720374,102.02532984391352,15.885329843913524,12.595329843913525,-104.91525979985484
SAIT,500.0,85,501.7702137558508,164.76281567275268,168.76281567275268,20.179400086720374,102.11779354995532,15.977793549955322,12.687793549955323,-104.82279609381301
SAIT,500.0,90,500.0,164.7321182191606,168.7321182191606,20.179400086720374,102.14849100354739,16.00849100354739,12.718491003547392,-104.79209864022097
SAIT,600.0,0,2829.3462142339527,179.78643999944234,183.78643999944234,20.179400086720374,87.09416922326567,0.9541692232656658,-2.3358307767343343,-119.84642042050267
SAIT,600.0,5,2328.0489773751497,178.0925603872208,182.0925603872208,20.179400086720374,88.7880488354872,2.6480488354872023,-0.6419511645127978,-118.15254080828113
SAIT,600.0,10,1931.6353589090172,176.4712210651274,180.4712210651274,20.179400086720374,90.40938815758061,4.269388157580607,0.9793881575806074,-116.53120148618773
SAIT,600.0,15,1625.8448306410517,174.97430002264383,178.97430002264383,20.179400086720374,91.90630920006417,5.766309200064171,2.476309200064171,-115.03428044370419
SAIT,600.0,20,1392.1639879993036,173.62652604035145,177.62652604035145,20.179400086720374,93.25408318235655,7.114083182356552,3.824083182356552,-113.68650646141178
SAIT,600.0,25,1213.2334721732086,172.43160580549616,176.43160580549616,20.179400086720374,94.44900341721184,8.30900341721184,5.019003417211841,-112.49158622655649
SAIT,600.0,30,1075.088016929119,171.38159855611173,175.38159855611173,20.179400086720374,95.49901066659628,9.359010666596276,6.069010666596276,-111.44157897717206
SAIT,600.0,35,967.300872665508,170.46394972402095,174.46394972402095,20.179400086720374,96.41665949868705,10.276659498687053,6.986659498687053,-110.52393014508128
SAIT,600.0,40,882.3358647363984,169.66539678374465,173.66539678374465,20.179400086720374,97.21521243896335,11.075212438963348,7.785212438963348,-109.72537720480499
SAIT,600.0,45,814.7990551417361,168.97372846666678,172.97372846666678,20.179400086720374,97.90688075604122,11.766880756041218,8.476880756041218,-109.03370888772712
SAIT,600.0,50,760.8231778711361,168.37839282375631,172.37839282375631,20.179400086720374,98.50221639895169,12.362216398951688,9.072216398951689,-108.43837324481665
SAIT,600.0,55,717.6171074338627,167.87057380048446,171.87057380048446,20.179400086720374,99.01003542222354,12.870035422223538,9.580035422223538,-107.9305542215448
SAIT,600.0,60,683.1513775642861,167.44305710084325,171.44305710084325,20.179400086720374,99.43755212186475,13.297552121864754,10.007552121864755,-107.50303752190358
SAIT,600.0,65,655.9426111332668,167.0900350187825,171.0900350187825,20.179400086720374,99.79057420392552,13.650574203925515,10.360574203925516,-107.15001543984283
SAIT,600.0,70,634.9065394090512,166.80691413729602,170.80691413729602,20.179400086720374,100.07369508541198,13.933695085411983,10.643695085411984,-106.86689455835635
SAIT,600.0,75,619.2579462779877,166.59014989508793,170.59014989508793,20.179400086720374,100.29045932762007,14.15045932762007,10.86045932762007,-106.65013031614826
SAIT,600.0,80,608.4428960487166,166.4371146286372,170.4371146286372,20.179400086720374,100.4434945940708,14.303494594070798,11.0134945940708,-106.49709504969753
SAIT,600.0,85,602.0936325593257,166.3459988194508,170.3459988194508,20.179400086720374,100.53461040325719,14.39461040325719,11.10461040325719,-106.40597924051113
SAIT,600.0,90,600.0,166.3157431401131,170.3157431401131,20.179400086720374,100.56486608259489,14.424866082594889,11.13486608259489,-106.37572356117344
