radio,orbit_altitude_km,elevation_deg,slant_range_km,fspl_db,total_prop_loss_db,eirp_dbw,cn0_dbhz,ebn0_db,link_margin_db,pfd_dbw_per_m2
Endurosat,500.0,0,2573.130389234094,178.95667222961418,183.45667222961418,20.510299956639813,88.27483686301326,8.784836863013268,1.3948368630132686,-118.69103456239432
Endurosat,500.0,5,2077.091666328085,177.09654961613947,181.59654961613947,20.510299956639813,90.13495947648798,10.644959476487983,3.2549594764879837,-116.8309119489196
Endurosat,500.0,10,1694.567221154679,175.32861237841766,179.82861237841766,20.510299956639813,91.90289671420979,12.412896714209793,5.022896714209794,-115.06297471119777
Endurosat,500.0,15,1407.2036480456748,173.7145753971861,178.2145753971861,20.510299956639813,93.51693369544134,14.026933695441343,6.636933695441344,-113.44893772996625
Endurosat,500.0,20,1192.7971987277242,172.27876856099888,176.77876856099888,20.510299956639813,94.95274053162856,15.462740531628569,8.072740531628568,-112.01313089377902
Endurosat,500.0,25,1031.81930676285,171.01950934804657,175.51950934804657,20.510299956639813,96.21199974458088,16.721999744580884,9.331999744580884,-110.7538716808267
Endurosat,500.0,30,909.4249382619951,169.92277353602256,174.42277353602256,20.510299956639813,97.30873555660489,17.818735556604892,10.428735556604892,-109.6571358688027
Endurosat,500.0,35,815.0378779753446,168.9709922020035,173.4709922020035,20.510299956639813,98.26051689062396,18.770516890623966,11.380516890623966,-108.70535453478362
Endurosat,500.0,40,741.2928662839413,168.14723276633643,172.64723276633643,20.510299956639813,99.08427632629102,19.594276326291023,12.204276326291023,-107.88159509911657
Endurosat,500.0,45,683.0686201417575,167.43672304088733,171.93672304088733,20.510299956639813,99.79478605174012,20.304786051740123,12.914786051740123,-107.17108537366747
Endurosat,500.0,50,636.7746481097947,166.82715164121007,171.32715164121007,20.510299956639813,100.40435745141738,20.914357451417388,13.524357451417387,-106.5615139739902
Endurosat,500.0,55,599.8641281143427,166.30849418872336,170.80849418872336,20.510299956639813,100.92301490390409,21.433014903904095,14.043014903904094,-106.04285652150351
Endurosat,500.0,60,570.509999748142,165.87270157119255,170.37270157119255,20.510299956639813,101.3588075214349,21.868807521434903,14.478807521434902,-105.60706390397269
Endurosat,500.0,65,547.3907371097412,165.51338523178757,170.01338523178757,20.510299956639813,101.71812386083988,22.228123860839887,14.838123860839886,-105.24774756456772
Endurosat,500.0,70,529.5481824717681,165.22554598639843,169.72554598639843,20.510299956639813,102.00596310622902,22.515963106229023,15.125963106229023,-104.95990831917857
Endurosat,500.0,75,516.2927507971172,165.00535689509573,169.50535689509573,20.510299956639813,102.22615219753172,22.736152197531723,15.346152197531723,-104.7397192278759
Endurosat,500.0,80,507.14022889118405,164.84999759715524,169.34999759715524,20.510299956639813,102.38151149547221,22.891511495472216,15.501511495472215,-104.5843599299354
Endurosat,500.0,85,501.7702137558508,164.75753389111344,169.25753389111344,20.510299956639813,102.47397520151401,22.983975201514014,15.593975201514013,-104.49189622389358
Endurosat,500.0,90,500.0,164.72683643752137,169.22683643752137,20.510299956639813,102.50467265510608,23.014672655106082,15.624672655106082,-104.46119877030154
Endurosat,600.0,0,2829.3462142339527,179.7811582178031,184.2811582178031,20.510299956639813,87.45035087482435,7.960350874824357,0.5703508748243573,-119.51552055058323
Endurosat,600.0,5,2328.0489773751497,178.08727860558156,182.58727860558156,20.510299956639813,89.14423048704589,9.654230487045893,2.264230487045894,-117.8216409383617
Endurosat,600.0,10,1931.6353589090172,176.46593928348815,180.96593928348815,20.510299956639813,90.7655698091393,11.275569809139299,3.885569809139299,-116.20030161626829
Endurosat,600.0,15,1625.8448306410517,174.9690182410046,179.4690182410046,20.510299956639813,92.26249085162286,12.772490851622862,5.382490851622863,-114.70338057378476
Endurosat,600.0,20,1392.1639879993036,173.6212442587122,178.1212442587122,20.510299956639813,93.61026483391524,14.120264833915243,6.7302648339152435,-113.35560659149235
Endurosat,600.0,25,1213.2334721732086,172.42632402385692,176.92632402385692,20.510299956639813,94.80518506877053,15.315185068770532,7.925185068770532,-112.16068635663706
Endurosat,600.0,30,1075.088016929119,171.37631677447249,175.87631677447249,20.510299956639813,95.85519231815496,16.365192318154968,8.975192318154967,-111.11067910725262
Endurosat,600.0,35,967.300872665508,170.4586679423817,174.9586679423817,20.510299956639813,96.77284115024574,17.282841150245744,9.892841150245744,-110.19303027516185
Endurosat,600.0,40,882.3358647363984,169.6601150021054,174.1601150021054,20.510299956639813,97.57139409052203,18.08139409052204,10.691394090522039,-109.39447733488555
Endurosat,600.0,45,814.7990551417361,168.96844668502754,173.46844668502754,20.510299956639813,98.2630624075999,18.77306240759991,11.383062407599908,-108.70280901780768
Endurosat,600.0,50,760.8231778711361,168.37311104211707,172.87311104211707,20.510299956639813,98.85839805051037,19.36839805051038,11.978398050510378,-108.10747337489721
Endurosat,600.0,55,717.6171074338627,167.86529201884522,172.36529201884522,20.510299956639813,99.36621707378222,19.87621707378223,12.486217073782228,-107.59965435162536
Endurosat,600.0,60,683.1513775642861,167.437775319204,171.937775319204,20.510299956639813,99.79373377342344,20.303733773423446,12.913733773423445,-107.17213765198414
Endurosat,600.0,65,655.9426111332668,167.08475323714325,171.58475323714325,20.510299956639813,100.1467558554842,20.656755855484207,13.266755855484206,-106.8191155699234
Endurosat,600.0,70,634.9065394090512,166.80163235565678,171.30163235565678,20.510299956639813,100.42987673697067,20.939876736970675,13.549876736970674,-106.53599468843692
Endurosat,600.0,75,619.2579462779877,166.5848681134487,171.0848681134487,20.510299956639813,100.64664097917876,21.15664097917876,13.76664097917876,-106.31923044622883
Endurosat,600.0,80,608.4428960487166,166.43183284699796,170.93183284699796,20.510299956639813,100.79967624562948,21.30967624562949,13.91967624562949,-106.1661951797781
Endurosat,600.0,85,602.0936325593257,166.34071703781157,170.84071703781157,20.510299956639813,100.89079205481588,21.40079205481588,14.01079205481588,-106.0750793705917
Endurosat,600.0,90,600.0,166.31046135847387,170.81046135847387,20.510299956639813,100.92104773415357,21.43104773415358,14.04104773415358,-106.04482369125401
SAIT,500.0,0,2573.130389234094,178.96195401125343,183.46195401125343,20.179400086720374,87.41865521145458,1.278655211454577,-2.011344788545423,-119.02193443231376
SAIT,500.0,5,2077.091666328085,177.1018313977787,181.6018313977787,20.179400086720374,89.27877782492929,3.138777824929292,-0.1512221750707079,-117.16181181883904
SAIT,500.0,10,1694.567221154679,175.3338941600569,179.8338941600569,20.179400086720374,91.0467150626511,4.906715062651102,1.6167150626511022,-115.3938745811172
SAIT,500.0,15,1407.2036480456748,173.71985717882535,178.21985717882535,20.179400086720374,92.66075204388265,6.520752043882652,3.230752043882652,-113.77983759988568
SAIT,500.0,20,1192.7971987277242,172.28405034263812,176.78405034263812,20.179400086720374,94.09655888006988,7.956558880069878,4.666558880069878,-112.34403076369846
SAIT,500.0,25,1031.81930676285,171.0247911296858,175.5247911296858,20.179400086720374,95.3558180930222,9.215818093022193,5.925818093022193,-111.08477155074614
SAIT,500.0,30,909.4249382619951,169.9280553176618,174.4280553176618,20.179400086720374,96.4525539050462,10.312553905046201,7.022553905046201,-109.98803573872213
SAIT,500.0,35,815.0378779753446,168.97627398364273,173.47627398364273,20.179400086720374,97.40433523906528,11.264335239065275,7.974335239065275,-109.03625440470306
SAIT,500.0,40,741.2928662839413,168.15251454797567,172.65251454797567,20.179400086720374,98.22809467473233,12.088094674732332,8.798094674732333,-108.212494969036
SAIT,500.0,45,683.0686201417575,167.44200482252657,171.94200482252657,20.179400086720374,98.93860440018143,12.798604400181432,9.508604400181433,-107.5019852435869
SAIT,500.0,50,636.7746481097947,166.8324334228493,171.3324334228493,20.179400086720374,99.5481757998587,13.408175799858697,10.118175799858697,-106.89241384390964
SAIT,500.0,55,599.8641281143427,166.3137759703626,170.8137759703626,20.179400086720374,100.0668332523454,13.926833252345403,10.636833252345404,-106.37375639142294
SAIT,500.0,60,570.509999748142,165.8779833528318,170.3779833528318,20.179400086720374,100.50262586987621,14.362625869876211,11.072625869876212,-105.93796377389212
SAIT,500.0,65,547.3907371097412,165.5186670134268,170.0186670134268,20.179400086720374,100.8619422092812,14.721942209281195,11.431942209281196,-105.57864743448715
SAIT,500.0,70,529.5481824717681,165.23082776803767,169.73082776803767,20.179400086720374,101.14978145467033,15.009781454670332,11.719781454670333,-105.290808189098
SAIT,500.0,75,516.2927507971172,165.01063867673497,169.51063867673497,20.179400086720374,101.36997054597303,15.229970545973032,11.939970545973033,-105.07061909779533
SAIT,500.0,80,507.14022889118405,164.85527937879448,169.35527937879448,20.179400086720374,101.52532984391352,15.385329843913524,12.095329843913525,-104.91525979985484
SAIT,500.0,85,501.7702137558508,164.76281567275268,169.26281567275268,20.179400086720374,101.61779354995532,15.477793549955322,12.187793549955323,-104.82279609381301
SAIT,500.0,90,500.0,164.7321182191606,169.2321182191606,20.179400086720374,101.64849100354739,15.508491003547391,12.218491003547392,-104.79209864022097
SAIT,600.0,0,2829.3462142339527,179.78643999944234,184.28643999944234,20.179400086720374,86.59416922326567,0.4541692232656658,-2.8358307767343343,-119.84642042050267
SAIT,600.0,5,2328.0489773751497,178.0925603872208,182.5925603872208,20.179400086720374,88.2880488354872,2.1480488354872023,-1.1419511645127978,-118.15254080828113
SAIT,600.0,10,1931.6353589090172,176.4712210651274,180.9712210651274,20.179400086720374,89.90938815758061,3.7693881575806074,0.4793881575806074,-116.53120148618773
SAIT,600.0,15,1625.8448306410517,174.97430002264383,179.47430002264383,20.179400086720374,91.40630920006417,5.266309200064171,1.976309200064171,-115.03428044370419
SAIT,600.0,20,1392.1639879993036,173.62652604035145,178.12652604035145,20.179400086720374,92.75408318235655,6.614083182356552,3.324083182356552,-113.68650646141178
SAIT,600.0,25,1213.2334721732086,172.43160580549616,176.93160580549616,20.179400086720374,93.94900341721184,7.809003417211841,4.519003417211841,-112.49158622655649
SAIT,600.0,30,1075.088016929119,171.38159855611173,175.88159855611173,20.179400086720374,94.99901066659628,8.859010666596276,5.569010666596276,-111.44157897717206
SAIT,600.0,35,967.300872665508,170.46394972402095,174.96394972402095,20.179400086720374,95.91665949868705,9.776659498687053,6.486659498687053,-110.52393014508128
SAIT,600.0,40,882.3358647363984,169.66539678374465,174.16539678374465,20.179400086720374,96.71521243896335,10.575212438963348,7.285212438963348,-109.72537720480499
